,Transcript stable ID
531,ENSDART00000014036
532,ENSDART00000014049
533,ENSDART00000014052
534,ENSDART00000014057
535,ENSDART00000014088
536,ENSDART00000014124
537,ENSDART00000014137
538,ENSDART00000014149
539,ENSDART00000014153
540,ENSDART00000014168
541,ENSDART00000014188
542,ENSDART00000014190
543,ENSDART00000014222
544,ENSDART00000014232
545,ENSDART00000014296
546,ENSDART00000014330
547,ENSDART00000014350
548,ENSDART00000014411
549,ENSDART00000014503
550,ENSDART00000014521
551,ENSDART00000014552
552,ENSDART00000014568
553,ENSDART00000014573
554,ENSDART00000014606
555,ENSDART00000014649
556,ENSDART00000014666
557,ENSDART00000014685
558,ENSDART00000014703
559,ENSDART00000014727
560,ENSDART00000014729
561,ENSDART00000014766
562,ENSDART00000014774
563,ENSDART00000014806
564,ENSDART00000014819
565,ENSDART00000014843
566,ENSDART00000014887
567,ENSDART00000014916
568,ENSDART00000014945
569,ENSDART00000014956
570,ENSDART00000015000
571,ENSDART00000015016
572,ENSDART00000015046
573,ENSDART00000015076
574,ENSDART00000015079
575,ENSDART00000015103
576,ENSDART00000015127
577,ENSDART00000015134
578,ENSDART00000015139
579,ENSDART00000015251
580,ENSDART00000015262
581,ENSDART00000015279
582,ENSDART00000015286
583,ENSDART00000015302
584,ENSDART00000015333
585,ENSDART00000015372
586,ENSDART00000015393
587,ENSDART00000015479
588,ENSDART00000015482
589,ENSDART00000015517
590,ENSDART00000015535
591,ENSDART00000015554
592,ENSDART00000015566
593,ENSDART00000015610
594,ENSDART00000015628
595,ENSDART00000015636
596,ENSDART00000015643
597,ENSDART00000015664
598,ENSDART00000015670
599,ENSDART00000015682
600,ENSDART00000015694
601,ENSDART00000015710
602,ENSDART00000015723
603,ENSDART00000015729
604,ENSDART00000015773
605,ENSDART00000015777
606,ENSDART00000015780
607,ENSDART00000015786
608,ENSDART00000015801
609,ENSDART00000015820
610,ENSDART00000015834
611,ENSDART00000015872
612,ENSDART00000015873
613,ENSDART00000015932
614,ENSDART00000015940
615,ENSDART00000015979
616,ENSDART00000016024
617,ENSDART00000016057
618,ENSDART00000016071
619,ENSDART00000016075
620,ENSDART00000016087
621,ENSDART00000016096
622,ENSDART00000016103
623,ENSDART00000016105
624,ENSDART00000016135
625,ENSDART00000016167
626,ENSDART00000016208
627,ENSDART00000016214
628,ENSDART00000016219
629,ENSDART00000016236
630,ENSDART00000016248
631,ENSDART00000016249
632,ENSDART00000016283
633,ENSDART00000016310
634,ENSDART00000016382
635,ENSDART00000016386
636,ENSDART00000016388
637,ENSDART00000016407
638,ENSDART00000016417
639,ENSDART00000016464
640,ENSDART00000016502
641,ENSDART00000016592
642,ENSDART00000016602
643,ENSDART00000016608
644,ENSDART00000016629
645,ENSDART00000016702
646,ENSDART00000016710
647,ENSDART00000016727
648,ENSDART00000016800
649,ENSDART00000016803
650,ENSDART00000016808
651,ENSDART00000016860
652,ENSDART00000016864
653,ENSDART00000016890
654,ENSDART00000016891
655,ENSDART00000016913
656,ENSDART00000016916
657,ENSDART00000016976
658,ENSDART00000016986
659,ENSDART00000017017
660,ENSDART00000017034
661,ENSDART00000017043
662,ENSDART00000017053
663,ENSDART00000017075
664,ENSDART00000017090
665,ENSDART00000017128
666,ENSDART00000017138
667,ENSDART00000017140
668,ENSDART00000017148
669,ENSDART00000017172
670,ENSDART00000017176
671,ENSDART00000017180
672,ENSDART00000017185
673,ENSDART00000017240
674,ENSDART00000017259
675,ENSDART00000017269
676,ENSDART00000017299
677,ENSDART00000017304
678,ENSDART00000017307
679,ENSDART00000017329
680,ENSDART00000017349
681,ENSDART00000017424
682,ENSDART00000017427
683,ENSDART00000017443
684,ENSDART00000017445
685,ENSDART00000017451
686,ENSDART00000017467
687,ENSDART00000017562
688,ENSDART00000017594
689,ENSDART00000017599
690,ENSDART00000017728
691,ENSDART00000017755
692,ENSDART00000017763
693,ENSDART00000017770
694,ENSDART00000017774
695,ENSDART00000017805
696,ENSDART00000017807
697,ENSDART00000017829
698,ENSDART00000017851
699,ENSDART00000017852
700,ENSDART00000017859
701,ENSDART00000017869
702,ENSDART00000017898
703,ENSDART00000017904
704,ENSDART00000017912
705,ENSDART00000017937
706,ENSDART00000017941
707,ENSDART00000017962
708,ENSDART00000017965
709,ENSDART00000018017
710,ENSDART00000018037
711,ENSDART00000018044
712,ENSDART00000018047
713,ENSDART00000018049
714,ENSDART00000018062
715,ENSDART00000018071
716,ENSDART00000018091
717,ENSDART00000018095
718,ENSDART00000018114
719,ENSDART00000018117
720,ENSDART00000018119
721,ENSDART00000018155
722,ENSDART00000018163
723,ENSDART00000018228
724,ENSDART00000018255
725,ENSDART00000018261
726,ENSDART00000018301
727,ENSDART00000018347
728,ENSDART00000018348
729,ENSDART00000018350
730,ENSDART00000018408
731,ENSDART00000018423
732,ENSDART00000018461
733,ENSDART00000018469
734,ENSDART00000018472
735,ENSDART00000018498
736,ENSDART00000018503
737,ENSDART00000018512
738,ENSDART00000018514
739,ENSDART00000018519
740,ENSDART00000018523
741,ENSDART00000018533
742,ENSDART00000018543
743,ENSDART00000018570
744,ENSDART00000018626
745,ENSDART00000018651
746,ENSDART00000018677
747,ENSDART00000018686
748,ENSDART00000018735
749,ENSDART00000018737
750,ENSDART00000018739
751,ENSDART00000018752
752,ENSDART00000018788
753,ENSDART00000018817
754,ENSDART00000018827
755,ENSDART00000018895
756,ENSDART00000018948
757,ENSDART00000019004
758,ENSDART00000019017
759,ENSDART00000019047
760,ENSDART00000019050
761,ENSDART00000019098
762,ENSDART00000019136
763,ENSDART00000019145
764,ENSDART00000019149
765,ENSDART00000019183
766,ENSDART00000019206
767,ENSDART00000019252
768,ENSDART00000019259
769,ENSDART00000019267
770,ENSDART00000019269
771,ENSDART00000019270
772,ENSDART00000019281
773,ENSDART00000019325
774,ENSDART00000019364
775,ENSDART00000019392
776,ENSDART00000019396
777,ENSDART00000019416
778,ENSDART00000019417
779,ENSDART00000019446
780,ENSDART00000019455
781,ENSDART00000019458
782,ENSDART00000019459
783,ENSDART00000019518
784,ENSDART00000019519
785,ENSDART00000019521
786,ENSDART00000019636
787,ENSDART00000019647
788,ENSDART00000019651
789,ENSDART00000019698
790,ENSDART00000019699
791,ENSDART00000019743
792,ENSDART00000019744
793,ENSDART00000019748
794,ENSDART00000019750
795,ENSDART00000019762
796,ENSDART00000019766
797,ENSDART00000019770
798,ENSDART00000019786
799,ENSDART00000019813
800,ENSDART00000019818
801,ENSDART00000019846
802,ENSDART00000019854
803,ENSDART00000019861
804,ENSDART00000019898
805,ENSDART00000019907
806,ENSDART00000019925
807,ENSDART00000019936
808,ENSDART00000019937
809,ENSDART00000019939
810,ENSDART00000019957
811,ENSDART00000019975
812,ENSDART00000020017
813,ENSDART00000020033
814,ENSDART00000020082
815,ENSDART00000020116
816,ENSDART00000020122
817,ENSDART00000020137
818,ENSDART00000020153
819,ENSDART00000020183
820,ENSDART00000020192
821,ENSDART00000020234
822,ENSDART00000020252
823,ENSDART00000020256
824,ENSDART00000020266
825,ENSDART00000020270
826,ENSDART00000020283
827,ENSDART00000020301
828,ENSDART00000020327
829,ENSDART00000020342
830,ENSDART00000020344
831,ENSDART00000020389
832,ENSDART00000020409
833,ENSDART00000020425
834,ENSDART00000020434
835,ENSDART00000020463
836,ENSDART00000020497
837,ENSDART00000020529
838,ENSDART00000020542
839,ENSDART00000020550
840,ENSDART00000020603
841,ENSDART00000020621
842,ENSDART00000020628
843,ENSDART00000020638
844,ENSDART00000020654
845,ENSDART00000020655
846,ENSDART00000020665
847,ENSDART00000020680
848,ENSDART00000020710
849,ENSDART00000020725
850,ENSDART00000020743
851,ENSDART00000020745
852,ENSDART00000020749
853,ENSDART00000020769
854,ENSDART00000020786
855,ENSDART00000020810
856,ENSDART00000020819
857,ENSDART00000020834
858,ENSDART00000020884
859,ENSDART00000020908
860,ENSDART00000020970
861,ENSDART00000021011
862,ENSDART00000021035
863,ENSDART00000021037
864,ENSDART00000021053
865,ENSDART00000021069
866,ENSDART00000021092
867,ENSDART00000021141
868,ENSDART00000021191
869,ENSDART00000021240
870,ENSDART00000021272
871,ENSDART00000021299
872,ENSDART00000021336
873,ENSDART00000021341
874,ENSDART00000021360
875,ENSDART00000021372
876,ENSDART00000021379
877,ENSDART00000021384
878,ENSDART00000021394
879,ENSDART00000021399
880,ENSDART00000021406
881,ENSDART00000021417
882,ENSDART00000021520
883,ENSDART00000021533
884,ENSDART00000021556
885,ENSDART00000021577
886,ENSDART00000021657
887,ENSDART00000021666
888,ENSDART00000021668
889,ENSDART00000021672
890,ENSDART00000021683
891,ENSDART00000021736
892,ENSDART00000021753
893,ENSDART00000021782
894,ENSDART00000021788
895,ENSDART00000021864
896,ENSDART00000021925
897,ENSDART00000021950
898,ENSDART00000021976
899,ENSDART00000021977
900,ENSDART00000021997
901,ENSDART00000022042
902,ENSDART00000022043
903,ENSDART00000022242
904,ENSDART00000022356
905,ENSDART00000022358
906,ENSDART00000022369
907,ENSDART00000022413
908,ENSDART00000022432
909,ENSDART00000022481
910,ENSDART00000022492
911,ENSDART00000022495
912,ENSDART00000022499
913,ENSDART00000022533
914,ENSDART00000022549
915,ENSDART00000022562
916,ENSDART00000022621
917,ENSDART00000022643
918,ENSDART00000022646
919,ENSDART00000022660
920,ENSDART00000022682
921,ENSDART00000022708
922,ENSDART00000022725
923,ENSDART00000022765
924,ENSDART00000022830
925,ENSDART00000022840
926,ENSDART00000022861
927,ENSDART00000022870
928,ENSDART00000022903
929,ENSDART00000023006
930,ENSDART00000023012
931,ENSDART00000023038
932,ENSDART00000023046
933,ENSDART00000023094
934,ENSDART00000023101
935,ENSDART00000023116
936,ENSDART00000023123
937,ENSDART00000023151
938,ENSDART00000023153
939,ENSDART00000023218
940,ENSDART00000023238
941,ENSDART00000023278
942,ENSDART00000023301
943,ENSDART00000023320
944,ENSDART00000023452
945,ENSDART00000023453
946,ENSDART00000023515
947,ENSDART00000023549
948,ENSDART00000023550
949,ENSDART00000023571
950,ENSDART00000023575
951,ENSDART00000023584
952,ENSDART00000023684
953,ENSDART00000023692
954,ENSDART00000023709
955,ENSDART00000023763
956,ENSDART00000023779
957,ENSDART00000023780
958,ENSDART00000023784
959,ENSDART00000023831
960,ENSDART00000023834
961,ENSDART00000023842
962,ENSDART00000023894
963,ENSDART00000023953
964,ENSDART00000023963
965,ENSDART00000023983
966,ENSDART00000023984
967,ENSDART00000024009
968,ENSDART00000024034
969,ENSDART00000024058
970,ENSDART00000024064
971,ENSDART00000024068
972,ENSDART00000024075
973,ENSDART00000024096
974,ENSDART00000024104
975,ENSDART00000024127
976,ENSDART00000024137
977,ENSDART00000024170
978,ENSDART00000024193
979,ENSDART00000024208
980,ENSDART00000024215
981,ENSDART00000024224
982,ENSDART00000024256
983,ENSDART00000024282
984,ENSDART00000024296
985,ENSDART00000024330
986,ENSDART00000024358
987,ENSDART00000024415
988,ENSDART00000024453
989,ENSDART00000024499
990,ENSDART00000024555
991,ENSDART00000024572
992,ENSDART00000024578
993,ENSDART00000024593
994,ENSDART00000024595
995,ENSDART00000024615
996,ENSDART00000024619
997,ENSDART00000024627
998,ENSDART00000024633
999,ENSDART00000024662
1000,ENSDART00000024676
1001,ENSDART00000024677
1002,ENSDART00000024691
1003,ENSDART00000024695
1004,ENSDART00000024722
1005,ENSDART00000024750
1006,ENSDART00000024751
1007,ENSDART00000024777
1008,ENSDART00000024795
1009,ENSDART00000024815
1010,ENSDART00000024819
1011,ENSDART00000024821
1012,ENSDART00000024822
1013,ENSDART00000024846
1014,ENSDART00000024861
1015,ENSDART00000024872
