Transcript stable ID	Protein stable ID
ENSDART00000102651	ENSDARP00000093426
ENSDART00000102658	ENSDARP00000093433
ENSDART00000102662	ENSDARP00000093437
ENSDART00000102669	ENSDARP00000093444
ENSDART00000102674	ENSDARP00000093449
ENSDART00000102678	ENSDARP00000124689
ENSDART00000102681	ENSDARP00000093456
ENSDART00000102696	ENSDARP00000093471
ENSDART00000102711	ENSDARP00000093486
ENSDART00000102725	ENSDARP00000093501
ENSDART00000102750	ENSDARP00000093526
ENSDART00000102782	ENSDARP00000093557
ENSDART00000102827	ENSDARP00000093602
ENSDART00000102868	ENSDARP00000093642
ENSDART00000102870	ENSDARP00000093644
ENSDART00000102883	ENSDARP00000093657
ENSDART00000102888	ENSDARP00000093662
ENSDART00000102893	ENSDARP00000093667
ENSDART00000102898	ENSDARP00000093672
ENSDART00000102900	ENSDARP00000093674
ENSDART00000102902	ENSDARP00000093676
ENSDART00000102903	ENSDARP00000093677
ENSDART00000102923	
ENSDART00000102963	ENSDARP00000093738
ENSDART00000102977	ENSDARP00000093751
ENSDART00000102981	ENSDARP00000093755
ENSDART00000103035	ENSDARP00000093809
ENSDART00000103046	ENSDARP00000093820
ENSDART00000103070	ENSDARP00000093844
ENSDART00000103076	ENSDARP00000093850
ENSDART00000103132	ENSDARP00000093906
ENSDART00000103134	ENSDARP00000093908
ENSDART00000103146	ENSDARP00000093920
ENSDART00000103147	ENSDARP00000093921
ENSDART00000103159	ENSDARP00000093933
ENSDART00000103220	ENSDARP00000093996
ENSDART00000103228	ENSDARP00000094005
ENSDART00000103235	ENSDARP00000094012
ENSDART00000103257	ENSDARP00000094034
ENSDART00000103266	ENSDARP00000094043
ENSDART00000103267	ENSDARP00000094044
ENSDART00000103314	ENSDARP00000094091
ENSDART00000103317	ENSDARP00000094094
ENSDART00000103320	ENSDARP00000094097
ENSDART00000103324	ENSDARP00000094101
ENSDART00000103340	ENSDARP00000094117
ENSDART00000103341	ENSDARP00000094118
ENSDART00000103343	ENSDARP00000094120
ENSDART00000103346	ENSDARP00000094123
ENSDART00000103350	ENSDARP00000094127
ENSDART00000103365	ENSDARP00000094142
ENSDART00000103394	ENSDARP00000094171
ENSDART00000103403	ENSDARP00000094179
ENSDART00000103434	ENSDARP00000094210
ENSDART00000103449	ENSDARP00000094225
ENSDART00000103455	ENSDARP00000094231
ENSDART00000103463	ENSDARP00000094239
ENSDART00000103467	ENSDARP00000094243
ENSDART00000103472	ENSDARP00000094248
ENSDART00000103474	ENSDARP00000094250
ENSDART00000103493	ENSDARP00000094269
ENSDART00000103502	ENSDARP00000094278
ENSDART00000103513	ENSDARP00000094289
ENSDART00000103532	ENSDARP00000094308
ENSDART00000103549	ENSDARP00000094325
ENSDART00000103570	ENSDARP00000094346
ENSDART00000103588	ENSDARP00000094364
ENSDART00000103596	ENSDARP00000094372
ENSDART00000103601	ENSDARP00000094377
ENSDART00000103612	ENSDARP00000094388
